================ BUILD ID ================
  cpp : #78 sha=da28d34 bin=765bc7186cd2dd73 FUSE_AB dprint probe
  data: # sha= 
=========================================
host=yyzo-bh-03  tag=ab_prod  timeout=1200s  worry=600s  ts=2026-06-01T14:51:43-0700
cmd: export TT_METAL_HOME=/localdev/smarton/tt-metal TT_METAL_RUNTIME_ROOT=/localdev/smarton/tt-metal TT_METAL_CACHE=/localdev/smarton/.cache/tt-metal-cache TT_METAL_ARCH_NAME=blackhole MESH_DEVICE=P100 GSPLAT_TT_BLEND_MODE=2 GSPLAT_TT_MB_KERNEL=1 GSPLAT_TT_MB_DEVCULL=1 GSPLAT_TT_DEVICE_PROJECT=1 GSPLAT_TT_RESIDENT_PROJECT=1 GSPLAT_TT_RESIDENT_GATHER=1 GSPLAT_TT_DEVICE_TILE_ASSIGN=1 GSPLAT_TT_RESIDENT_TA_IN=1 GSPLAT_TT_DEVICE_SORT=1 GSPLAT_TT_RESIDENT_PAIRS=1 GSPLAT_TT_RESIDENT_BLEND=1 GSPLAT_TT_SORT_DEVICE_PUBLISH=1 GSPLAT_TT_TA_DEVICE_SCAN=1 GSPLAT_TT_SFPU_CULL=1 GSPLAT_TT_FUSED_TILE=1 GSPLAT_TT_MB_TIMING=1 GSPLAT_TT_FUSE_AB=1 TT_METAL_DPRINT_CORES=all; source .venv/bin/activate 2>/dev/null; .venv/bin/python3 scripts/a003_verify.py --views 1 --iter-dir loop-ttw --out opt/ttw/last.json 2>&1 | tee /tmp/ttw_ab_prod.log >/dev/null; echo '===ABROW_PROD==='; grep 'ABROW' /tmp/ttw_ab_prod.log | sort -t= -k2 -n | head -200; echo '===SUMMARY==='; grep '^SUMMARY' /tmp/ttw_ab_prod.log | tail -1
-----------------------------------------
BUILD-ID VERIFY OK: cpp#78 bin=765bc7186cd2dd73 matches the built+stamped artifact
===ABROW_PROD===
0:3-5:NC: ABROW t=7 p=116 g=160606 a=0.456759 mxl=15.6978 op=0.0438206 m=107085824
0:3-5:NC: ABROW t=7 p=116 g=160606 a=0.456759 mxl=15.6978 op=0.0438206 m=107085824
0:3-5:NC: ABROW t=7 p=117 g=96335 a=3.33115 mxl=21.4943 op=0.0491634 m=1610612736
0:3-5:NC: ABROW t=7 p=117 g=96335 a=3.33115 mxl=21.4943 op=0.0491634 m=1610612736
0:3-5:NC: ABROW t=7 p=118 g=407674 a=0.356153 mxl=23.8268 op=0.549843 m=3422552064
0:3-5:NC: ABROW t=7 p=118 g=407674 a=0.356153 mxl=23.8268 op=0.549843 m=3422552064
0:3-5:NC: ABROW t=7 p=119 g=106059 a=1.50573 mxl=27.2794 op=0.0352299 m=3422552064
0:3-5:NC: ABROW t=7 p=119 g=106059 a=1.50573 mxl=27.2794 op=0.0352299 m=3422552064
0:3-5:NC: ABROW t=7 p=12 g=1553580 a=0.346524 mxl=30.2054 op=0.157363 m=2290614272
0:3-5:NC: ABROW t=7 p=12 g=1553580 a=0.346524 mxl=30.2054 op=0.157363 m=2290614272
0:3-5:NC: ABROW t=7 p=120 g=666007 a=0.991988 mxl=27.1606 op=0.0741762 m=2361393152
0:3-5:NC: ABROW t=7 p=120 g=666007 a=0.991988 mxl=27.1606 op=0.0741762 m=2361393152
0:3-5:NC: ABROW t=7 p=121 g=442297 a=0.973087 mxl=19.2534 op=0.153021 m=4603904
0:3-5:NC: ABROW t=7 p=121 g=442297 a=0.973087 mxl=19.2534 op=0.153021 m=4603904
0:3-5:NC: ABROW t=7 p=122 g=1541329 a=1.3091 mxl=27.9869 op=0.0193116 m=2147483648
0:3-5:NC: ABROW t=7 p=122 g=1541329 a=1.3091 mxl=27.9869 op=0.0193116 m=2147483648
0:3-5:NC: ABROW t=7 p=123 g=1102329 a=0.622058 mxl=26.0679 op=0.11107 m=3430940672
0:3-5:NC: ABROW t=7 p=123 g=1102329 a=0.622058 mxl=26.0679 op=0.11107 m=3430940672
0:3-5:NC: ABROW t=7 p=124 g=368415 a=2.0555 mxl=26.3763 op=0.00525494 m=52352
0:3-5:NC: ABROW t=7 p=124 g=368415 a=2.0555 mxl=26.3763 op=0.00525494 m=52352
0:3-5:NC: ABROW t=7 p=125 g=1392640 a=0.467799 mxl=25.5803 op=0.0558319 m=3264
0:3-5:NC: ABROW t=7 p=125 g=1392640 a=0.467799 mxl=25.5803 op=0.0558319 m=3264
0:3-5:NC: ABROW t=7 p=126 g=1125788 a=0.687995 mxl=24.5879 op=0.0518128 m=52424
0:3-5:NC: ABROW t=7 p=126 g=1125788 a=0.687995 mxl=24.5879 op=0.0518128 m=52424
0:3-5:NC: ABROW t=7 p=127 g=200585 a=2.76777 mxl=26.5457 op=0.689138 m=3422552064
0:3-5:NC: ABROW t=7 p=127 g=200585 a=2.76777 mxl=26.5457 op=0.689138 m=3422552064
0:3-5:NC: ABROW t=7 p=128 g=1758286 a=0.915468 mxl=26.5112 op=0.0504435 m=3221225472
0:3-5:NC: ABROW t=7 p=128 g=1758286 a=0.915468 mxl=26.5112 op=0.0504435 m=3221225472
0:3-5:NC: ABROW t=7 p=129 g=1379523 a=5.67338 mxl=17.9012 op=0.00739614 m=15597568
0:3-5:NC: ABROW t=7 p=129 g=1379523 a=5.67338 mxl=17.9012 op=0.00739614 m=15597568
0:3-5:NC: ABROW t=7 p=13 g=1382366 a=8.54679 mxl=26.9696 op=0.00755613 m=1073741824
0:3-5:NC: ABROW t=7 p=13 g=1382366 a=8.54679 mxl=26.9696 op=0.00755613 m=1073741824
0:3-5:NC: ABROW t=7 p=130 g=1834234 a=1.39401 mxl=26.3252 op=0.00397477 m=3221225472
0:3-5:NC: ABROW t=7 p=130 g=1834234 a=1.39401 mxl=26.3252 op=0.00397477 m=3221225472
0:3-5:NC: ABROW t=7 p=131 g=1793498 a=0.589166 mxl=26.122 op=0.0638871 m=3221225472
0:3-5:NC: ABROW t=7 p=131 g=1793498 a=0.589166 mxl=26.122 op=0.0638871 m=3221225472
0:3-5:NC: ABROW t=7 p=132 g=1823709 a=0.865586 mxl=25.5959 op=0.407134 m=3221225472
0:3-5:NC: ABROW t=7 p=132 g=1823709 a=0.865586 mxl=25.5959 op=0.407134 m=3221225472
0:3-5:NC: ABROW t=7 p=133 g=1673854 a=0.531367 mxl=25.1641 op=0.0277704 m=3422552064
0:3-5:NC: ABROW t=7 p=133 g=1673854 a=0.531367 mxl=25.1641 op=0.0277704 m=3422552064
0:3-5:NC: ABROW t=7 p=134 g=1546781 a=0.357337 mxl=11.8655 op=0.0322087 m=35651584
0:3-5:NC: ABROW t=7 p=134 g=1546781 a=0.357337 mxl=11.8655 op=0.0322087 m=35651584
0:3-5:NC: ABROW t=7 p=135 g=1139561 a=3.91443 mxl=17.3636 op=0.65677 m=216408064
0:3-5:NC: ABROW t=7 p=135 g=1139561 a=3.91443 mxl=17.3636 op=0.65677 m=216408064
0:3-5:NC: ABROW t=7 p=136 g=297328 a=0.931494 mxl=22.2099 op=0.260157 m=835584
0:3-5:NC: ABROW t=7 p=136 g=297328 a=0.931494 mxl=22.2099 op=0.260157 m=835584
0:3-5:NC: ABROW t=7 p=137 g=86255 a=1.74794 mxl=24.9698 op=0.0519071 m=3422552064
0:3-5:NC: ABROW t=7 p=137 g=86255 a=1.74794 mxl=24.9698 op=0.0519071 m=3422552064
0:3-5:NC: ABROW t=7 p=138 g=150904 a=0.31618 mxl=12.1382 op=0.126774 m=35651584
0:3-5:NC: ABROW t=7 p=138 g=150904 a=0.31618 mxl=12.1382 op=0.126774 m=35651584
0:3-5:NC: ABROW t=7 p=139 g=535136 a=0.392817 mxl=17.0485 op=0.999948 m=6684672
0:3-5:NC: ABROW t=7 p=139 g=535136 a=0.392817 mxl=17.0485 op=0.999948 m=6684672
0:3-5:NC: ABROW t=7 p=14 g=1587900 a=4.32381 mxl=24.2733 op=0.0826384 m=3431499912
0:3-5:NC: ABROW t=7 p=14 g=1587900 a=4.32381 mxl=24.2733 op=0.0826384 m=3431499912
0:3-5:NC: ABROW t=7 p=140 g=1542793 a=3.13624 mxl=27.1689 op=0.0183324 m=3221225472
0:3-5:NC: ABROW t=7 p=140 g=1542793 a=3.13624 mxl=27.1689 op=0.0183324 m=3221225472
0:3-5:NC: ABROW t=7 p=141 g=733051 a=3.76499 mxl=24.6213 op=0.0793712 m=3221225472
0:3-5:NC: ABROW t=7 p=141 g=733051 a=3.76499 mxl=24.6213 op=0.0793712 m=3221225472
0:3-5:NC: ABROW t=7 p=142 g=386134 a=1.04989 mxl=20.6339 op=0.0162597 m=3288334336
0:3-5:NC: ABROW t=7 p=142 g=386134 a=1.04989 mxl=20.6339 op=0.0162597 m=3288334336
0:3-5:NC: ABROW t=7 p=143 g=1824175 a=0.897267 mxl=20.4709 op=0.0647079 m=1073741824
0:3-5:NC: ABROW t=7 p=143 g=1824175 a=0.897267 mxl=20.4709 op=0.0647079 m=1073741824
0:3-5:NC: ABROW t=7 p=144 g=1592666 a=1.18943 mxl=21.3803 op=0.00392931 m=3221225472
0:3-5:NC: ABROW t=7 p=144 g=1592666 a=1.18943 mxl=21.3803 op=0.00392931 m=3221225472
0:3-5:NC: ABROW t=7 p=145 g=254593 a=0.869923 mxl=21.4243 op=0.866404 m=3221225472
0:3-5:NC: ABROW t=7 p=145 g=254593 a=0.869923 mxl=21.4243 op=0.866404 m=3221225472
0:3-5:NC: ABROW t=7 p=146 g=196057 a=0.843454 mxl=34.215 op=0.236612 m=2176
0:3-5:NC: ABROW t=7 p=146 g=196057 a=0.843454 mxl=34.215 op=0.236612 m=2176
0:3-5:NC: ABROW t=7 p=147 g=1541464 a=0.707352 mxl=33.0912 op=0.218069 m=2176
0:3-5:NC: ABROW t=7 p=147 g=1541464 a=0.707352 mxl=33.0912 op=0.218069 m=2176
0:3-5:NC: ABROW t=7 p=148 g=1554210 a=5.85894 mxl=17.79 op=0.0039295 m=208019456
0:3-5:NC: ABROW t=7 p=148 g=1554210 a=5.85894 mxl=17.79 op=0.0039295 m=208019456
0:3-5:NC: ABROW t=7 p=149 g=1674401 a=0.778037 mxl=21.2624 op=0.00402945 m=1073741824
0:3-5:NC: ABROW t=7 p=149 g=1674401 a=0.778037 mxl=21.2624 op=0.00402945 m=1073741824
0:3-5:NC: ABROW t=7 p=15 g=44969 a=21.0177 mxl=6.14664 op=0.01312 m=268435456
0:3-5:NC: ABROW t=7 p=15 g=44969 a=21.0177 mxl=6.14664 op=0.01312 m=268435456
0:3-5:NC: ABROW t=7 p=150 g=1155791 a=0.597339 mxl=17.6948 op=0.0185528 m=73793536
0:3-5:NC: ABROW t=7 p=150 g=1155791 a=0.597339 mxl=17.6948 op=0.0185528 m=73793536
0:3-5:NC: ABROW t=7 p=151 g=245594 a=0.967282 mxl=13.4569 op=0.0174378 m=107094016
0:3-5:NC: ABROW t=7 p=151 g=245594 a=0.967282 mxl=13.4569 op=0.0174378 m=107094016
0:3-5:NC: ABROW t=7 p=152 g=150502 a=4.46534 mxl=18.2518 op=0.0118922 m=216399872
0:3-5:NC: ABROW t=7 p=152 g=150502 a=4.46534 mxl=18.2518 op=0.0118922 m=216399872
0:3-5:NC: ABROW t=7 p=153 g=1547788 a=3.1116 mxl=21.4016 op=0.730486 m=3221225472
0:3-5:NC: ABROW t=7 p=153 g=1547788 a=3.1116 mxl=21.4016 op=0.730486 m=3221225472
0:3-5:NC: ABROW t=7 p=154 g=430136 a=0.415789 mxl=20.8492 op=0.12072 m=1140850688
0:3-5:NC: ABROW t=7 p=154 g=430136 a=0.415789 mxl=20.8492 op=0.12072 m=1140850688
0:3-5:NC: ABROW t=7 p=155 g=328988 a=0.328093 mxl=23.3163 op=0.137898 m=3435134976
0:3-5:NC: ABROW t=7 p=155 g=328988 a=0.328093 mxl=23.3163 op=0.137898 m=3435134976
0:3-5:NC: ABROW t=7 p=156 g=57103 a=4.03353 mxl=21.17 op=0.0214305 m=3435554304
0:3-5:NC: ABROW t=7 p=156 g=57103 a=4.03353 mxl=21.17 op=0.0214305 m=3435554304
0:3-5:NC: ABROW t=7 p=157 g=523043 a=1.04764 mxl=19.7444 op=0.936251 m=3758096384
0:3-5:NC: ABROW t=7 p=157 g=523043 a=1.04764 mxl=19.7444 op=0.936251 m=3758096384
0:3-5:NC: ABROW t=7 p=158 g=281623 a=2.47958 mxl=25.5779 op=0.0474962 m=3426746368
0:3-5:NC: ABROW t=7 p=158 g=281623 a=2.47958 mxl=25.5779 op=0.0474962 m=3426746368
0:3-5:NC: ABROW t=7 p=159 g=179850 a=0.728824 mxl=24.8055 op=0.280702 m=3422552064
0:3-5:NC: ABROW t=7 p=159 g=179850 a=0.728824 mxl=24.8055 op=0.280702 m=3422552064
0:3-5:NC: ABROW t=7 p=16 g=1453183 a=0.347188 mxl=23.2441 op=0.0656369 m=3221225472
0:3-5:NC: ABROW t=7 p=16 g=1453183 a=0.347188 mxl=23.2441 op=0.0656369 m=3221225472
0:3-5:NC: ABROW t=7 p=160 g=1118143 a=185.531 mxl=65.8527 op=0.0286986 m=837632
0:3-5:NC: ABROW t=7 p=160 g=1118143 a=185.531 mxl=65.8527 op=0.0286986 m=837632
0:3-5:NC: ABROW t=7 p=161 g=94364 a=1.07557 mxl=22.4364 op=0.0576334 m=3221225472
